video_id,title,channel,late_prob,early_prob,nn_prob,mean_fake_prob
SSuxVwMkcpA,The Coronavirus Vaccine Explained | COVID-19,AsapSCIENCE,0.5081767903747354,0.8399476410368107,0.8707824647426605,0.7396356320514021
Y55_Pu7lD-U,‘Are you comparing Covid-19 vaccine to Holocaust?': Explosive clash over mRNA vaccines rocks Senate,The Economic Times,0.5444776844243486,0.7337890025205892,0.7656749784946442,0.6813138884798606
B5smctuV7-Q,We Can Make COVID-19 the Last Pandemic | Bill Gates | TED,TED,0.4765397304448677,0.6687487301959112,0.8072657585144043,0.6508514063850611
ihXxHM2HTNw,Doctor EXPOSES Shocking Covid Vax Side Effects at Senate Hearing,BlazeTV,0.4389009557020726,0.7207002296220949,0.6872688829898834,0.6156233561046837
ht7MO_yQ03s,Is Covid Still SPREADING Out of Control?,Vejon Health,0.6168665467635112,0.60229316257658,0.5938048958778381,0.6043215350726431
rutKymnLOT8,'DNA contamination in Pfizer': Bombshell testimony ‘exposes’ COVID-vaccine ‘lies’ at Senate hearing,The Economic Times,0.4246755039789481,0.5864928749227829,0.7810790240764618,0.597415800992731
mmuCl-qyfpQ,Covid and the future,Dr. John Campbell,0.4120757181942153,0.5826303352077796,0.7275769710540771,0.5740943414853573
Ckxk3DIo0LI,Trump admin to claim link between Covid shots and child deaths,MSNBC,0.4861322491707607,0.5222074578840252,0.7018826007843018,0.5700741026130293
Sg_F5kE7Y4c,'Does The Covid Vaccine Reduce Transmission?': Rand Paul Has Tense Interchange With Ex-CDC Director,Forbes Breaking News,0.4642443843212345,0.5249772378739934,0.5121679604053497,0.5004631942001926
XXG_9Wm_dOE,'COVID vaccine has worst side effects ever': Dr Rogers makes jaw-dropping claim at Senate hearing,The Economic Times,0.4032158733182276,0.5977087333593918,0.481180727481842,0.49403511138648715
D9tTi-CDjDU,What is a coronavirus? - Elizabeth Cox,TED-Ed,0.3908379315234546,0.5139481748680911,0.5030325651168823,0.46927289050280935
ccUoK8sI9Fc,The beginning of the covid-19 infection ZOMBIE first person (pov),ВРЕМЯПОДКАЧАТЬСЯ,0.2754029818596282,0.4350797749764085,0.6911835074424744,0.46722208809283705
k4NAcCL1mHU,Inside the ‘never-ending’ fight for COVID vaccine injury compensation | 7.30,ABC News In-depth,0.4370859487730608,0.4757542214370481,0.3933159112930298,0.4353853605010462
I-Yd-_XIWJg,Coronavirus outbreak (covid 19) explained through 3D Medical Animation,Scientific Animations,0.3524367290202496,0.4492155735398537,0.4848194122314453,0.4288239049305162
b7xIozCVnZE,RUSH doctor explains why Illinois' COVID-19 vaccine recommendation differs from federal guidance,WGN News,0.2635339113979337,0.414273179957868,0.5400372743606567,0.4059481219054861
i0ZabxXmH4Y,Coronavirus disease (COVID-19),World Health Organization (WHO),0.2823725296662036,0.5205807315746893,0.3235780000686645,0.37551042043651917
yO6gg7pNzOU,"""Stratus"" variant causes COVID cases to surge in California",KTLA 5,0.3624573854521868,0.4410666586329448,0.2933653593063354,0.36562980113048904
UAHhhweamIU,"Vitamin C, Vitamin D, Zinc and COVID - Prevention of COVID",Doctor Mike Hansen,0.4156709699468779,0.3506223708725449,0.3198826313018799,0.3620586573737676
LlJIwTd9fqI,Boris Johnson announces complete UK lockdown amid coronavirus crisis,The Telegraph,0.396747628187137,0.4532437847662837,0.2325316667556762,0.360841026569699
W7kygbOU_Pg,What Happened to Our IMMUNITY After COVID,Vejon Health,0.3787507546347277,0.3737117654400224,0.2773082256317138,0.343256915235488
3Uugj-zxA5E,DOCTOR EXPLAINS COVID-19 (CORONAVIRUS),Violin MD,0.2936470950172433,0.3719193612786388,0.284442663192749,0.31666970649621035
OTYfke545vI,What Actually Happens If You Get Coronavirus?,AsapSCIENCE,0.2744336552891994,0.4237117029561278,0.166628897190094,0.2882580851451404
8d8_OKQMkU0,What Is Coronavirus  | Coronavirus Outbreak |KLT,KLT,0.2014790279542263,0.3581509374839327,0.3039166927337646,0.28784888605730785
OOJqHPfG7pA,"What Coronavirus Symptoms Look Like, Day By Day",Insider Science,0.339297062310321,0.4113965387067162,0.1071844100952148,0.2859593370374173
p9aotemcDkM,Who is allowed to get the FDA’s new COVID-19 vaccine?,CBS News,0.2773101800351497,0.2568732703776157,0.312540054321289,0.2822411682446848
rIQBZ4Rk3bY,Understanding who can get the FDA's new COVID-19 vaccine,CBS Mornings,0.22624425488633,0.255169457193419,0.2580811381340027,0.2464982834045839
I5-dI74zxPg,How To See Germs Spread Experiment (Coronavirus),Mark Rober,0.238682111754414,0.2453091800020918,0.1058847308158874,0.1966253408574644
5LuOJQFGS1s,What If Coronavirus Never Ends? | COVID-19 | Dr Binocs Show | Peekaboo Kidz,Peekaboo Kidz,0.1750004437628955,0.1603800001475297,0.0474281311035156,0.12760285833798027
R-JbDMYmAQM,CORONAVIRUS | What Is Coronavirus? | Coronavirus Outbreak | The Dr Binocs Show | Peekaboo Kidz,Peekaboo Kidz,0.1433248823747045,0.1442001989399269,0.0510655641555786,0.11286354849007
0yp2zbU4fas,How Corona Virus Affects Your Body? | COVID-19 | The Dr Binocs Show | Peekaboo Kidz,Peekaboo Kidz,0.1004513585687311,0.1583839781109528,0.0279720425605773,0.09560245974675373
